Status_group,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem
functional,Sumbawanga Rural,Sopa,"31.50618845,-8.453910751",river/lake,0,150,1981,insufficient,15023080051WP22_165,good,gravity,unknown,never pay,DWE,DWE,vwc,tap broken
functional,Nkasi,Sintali,"31.26627752,-7.91230116",borehole,500,400,2003,enough,15033081081WP3_392,salty,swn 80,unknown,annually,TA,Tanz,vwc,none
functional,Nkasi,Sintali,"31.26523674,-7.915341676",borehole,500,350,2003,enough,15033081081WP2_391,good,swn 80,unknown,annually,TA,Tanz,vwc,none
functional,Nkasi,Sintali,"31.36473452,-7.972267021",spring,0,2800,2008,enough,15033081081WP14_390,good,gravity,unknown,never pay,Go,DWE,vwc,none
functional,Nkasi,Sintali,"31.26650921,-7.917234438",borehole,500,400,2003,enough,15033081081WP1_385,good,other handpump,unknown,annually,TA,Tanz,vwc,none
functional,Nkasi,Sintali,"31.3150006,-7.956269677",borehole,1000,500,2009,insufficient,15033081081WP017_376,good,india mark ii,unknown,annually,CO,DWE,vwc,none
functional,Nkasi,Sintali,"31.3068273,-7.960179622",borehole,0,400,2009,enough,15033081081WP020_379,good,india mark ii,unknown,on failure,CO,DWE,parastatal,none
functional,Nkasi,Sintali,"31.30581045,-7.954398559",shallow well,1000,450,1994,insufficient,15033081081WP018_377,good,nira/tanira,unknown,annually,CO,DWE,vwc,none
functional,Sumbawanga Urban,Senga,"31.63341487,-7.867323276",river/lake,0,1000,1984,enough,15042016081WP17,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Senga,"31.58961271,-7.895684727",river/lake,0,0,1982,enough,15042016081WP03,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Senga,"31.62484159,-7.909655469",river/lake,0,0,2005,enough,15042016081WP11,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Urban,Senga,"31.62738003,-7.908019746",river/lake,0,600,2005,enough,15042016081WP12,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Urban,Senga,"31.62364343,-7.89940705",river/lake,0,0,2005,enough,15042016081WP16,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Urban,Senga,"31.62235651,-7.911956595",river/lake,0,0,2005,enough,15042016081WP15,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Urban,Senga,"31.62538195,-7.919830194",river/lake,0,400,2005,enough,15042016081WP13,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Urban,Senga,"31.62653246,-7.910149878",river/lake,0,350,2005,enough,15042016081WP09,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Urban,Senga,"31.58403196,-7.901489263",river/lake,0,0,1982,enough,15042016081WP07,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Senga,"31.62579378,-7.910836203",river/lake,0,0,2005,enough,15042016081WP10,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Rural,Sandulula,"31.86000122,-8.226632034",rainwater harvesting,0,500,2011,seasonal,15023080181WP02_351,good,gravity,unknown,never pay,TASAF,DWE,vwc,none
functional,Kalambo,Sandulula,"31.85241559,-8.175113886",shallow well,0,700,2009,enough,15023080181WP16_365,good,nira/tanira,unknown,never pay,LCDG,DWE,vwc,none
functional,Kalambo,Sandulula,"31.83914363,-8.168463855",shallow well,0,450,1991,enough,15023080181WP15_364,good,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Kalambo,Sandulula,"31.76719611,-8.192892607",borehole,0,200,2008,enough,15023080181WP11_360,good,india mark ii,unknown,never pay,TASAF,DWE,vwc,pump broken
functional,Sumbawanga Rural,Sandulula,"31.82302108,-8.254130955",shallow well,0,300,1992,enough,15023080181WP06_355,good,nira/tanira,unknown,never pay,DWE,DWE,vwc,none
functional,Kalambo,Sandulula,"31.84258707,-8.189092559",shallow well,0,450,1991,enough,15023080181WP25_374,good,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Nkasi,Pito,"31.62795649,-8.14034759",river/lake,0,1050,1978,insufficient,15042016101WP32,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Pito,"31.61804443,-8.141426139",river/lake,0,2550,1978,enough,15042016101WP26,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Pito,"31.61546591,-8.140140061",river/lake,0,1500,1978,enough,15042016101WP27,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Pito,"31.62369101,-8.132487438",river/lake,0,0,1978,enough,15042016101WP30,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Pito,"31.62395189,-8.141664741",river/lake,0,1450,1978,enough,15042016101WP31,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Pito,"31.66706583,-8.137229638",river/lake,0,1230,1985,enough,15042016101WP35,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Pito,"31.67088744,-8.133214646",river/lake,0,450,2012,enough,15042016101WP37,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Nkasi,Pito,"31.66855364,-8.138338256",river/lake,0,1,2012,enough,15042016101WP41,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Nkasi,Pito,"31.62482788,-8.137778027",river/lake,0,850,1978,enough,15042016101WP29,good,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Nkasi,Pito,"31.66093705,-8.078909856",river/lake,0,0,2009,enough,15042016101WP09,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Nkasi,Pito,"31.66039158,-8.07883205",river/lake,0,0,2009,enough,15042016101WP10,good,gravity,unknown,never pay,Sumbawanga Munici,Sumbaw,vwc,none
functional,Nkasi,Pito,"31.66724472,-8.070871599",river/lake,0,1850,1986,enough,15042016101WP11,colored,gravity,unknown,never pay,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Old Sumbawanga,"31.60753675,-7.945664241",borehole,50,860,1984,enough,15042016053WP03,good,india mark ii,unknown,per bucket,Norad,Norad,other,none
functional,Sumbawanga Urban,Old Sumbawanga,"31.59579158,-7.94218971",borehole,50,2130,1999,enough,15042016053WP01,good,india mark ii,unknown,per bucket,Norad,Norad,other,none
functional,Sumbawanga Urban,Old Sumbawanga,"31.60940631,-7.940259524",borehole,50,1000,2009,enough,15042016053WP02,good,india mark ii,unknown,per bucket,TASAF,TASAF,other,none
functional,Sumbawanga Urban,Ntendo,"31.52394725,-7.845579841",borehole,200,0,2011,seasonal,15042016071WP02,good,india mark ii,unknown,monthly,Sumbawanga Munici,Sumbaw,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.53969095,-7.90807484",borehole,500,0,1991,seasonal,15042016071WP09,good,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.53534431,-7.902406512",borehole,500,600,1991,enough,15042016071WP10,salty,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.53858873,-7.902879766",borehole,500,0,1991,enough,15042016071WP11,good,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.54316722,-7.901797929",borehole,500,560,1991,seasonal,15042016071WP12,salty,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.53642442,-7.898257511",borehole,500,1360,1991,seasonal,15042016071WP15,good,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.53691461,-7.894804612",borehole,500,0,1991,seasonal,15042016071WP16,good,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.54046368,-7.894832399",borehole,500,2300,1991,enough,15042016071WP17,salty,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.53751708,-7.900612446",borehole,500,0,1991,enough,15042016071WP18,good,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.49274039,-7.886861893",borehole,500,400,1993,seasonal,15042016071WP20,good,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Sumbawanga Urban,Ntendo,"31.48880836,-7.87981627",borehole,500,500,1993,enough,15042016071WP21,good,india mark ii,unknown,monthly,Norad,Norad,vwc,none
functional,Nkasi,Nkomolo,"31.04264235,-7.446891776",shallow well,1000,1560,2003,seasonal,15033081021WP08_118,good,nira/tanira,unknown,annually,Nk,DWE,vwc,none
functional,Nkasi,Nkomolo,"31.04045825,-7.488052418",shallow well,0,50,1993,enough,15033081021WP026_69,good,nira/tanira,unknown,never pay,RU,RUDE,vwc,none
functional,Nkasi,Nkomolo,"31.03457392,-7.493850014",borehole,25,1,1988,enough,15033081021WP024_65,salty,submersible,unknown,per bucket,NO,DWE,water authority,none
functional,Nkasi,Nkomolo,"31.03042207,-7.48837336",shallow well,0,300,1990,seasonal,15033081021WP020_59,good,nira/tanira,unknown,never pay,RU,DWE,vwc,none
functional,Nkasi,Nkomolo,"31.05280039,-7.381496701",borehole,2000,250,1985,enough,15033081021WP02_57,salty,india mark ii,unknown,annually,NO,DWE/,vwc,none
functional,Nkasi,Nkomolo,"31.09333247,-7.460399394",borehole,0,550,2008,enough,15033081021WP039_97,salty,afridev,unknown,never pay,TA,DDCA,vwc,none
functional,Nkasi,Nkomolo,"31.03028139,-7.493705112",borehole,0,120,2009,enough,15033081021WP018_53,salty,india mark ii,unknown,never pay,PO,PRIV,parastatal,none
functional,Nkasi,Nkomolo,"31.05239978,-7.371533404",borehole,2000,300,1985,enough,15033081021WP04_99,good,india mark ii,unknown,annually,NO,DWE/,vwc,none
functional,Nkasi,Nkomolo,"31.02808597,-7.491180863",shallow well,25,150,1995,enough,15033081021WP017_51,good,nira/tanira,unknown,unknown,RU,DWE,water authority,none
functional,Nkasi,Nkomolo,"31.05014527,-7.384014561",borehole,2000,600,1985,enough,15033081021WP01_44,good,india mark ii,unknown,annually,NO,DWE/,vwc,none
functional,Nkasi,Nkomolo,"31.04991237,-7.373919126",borehole,2000,400,1985,enough,15033081021WP05_111,good,india mark ii,unknown,annually,NO,DWE/,vwc,none
functional,Nkasi,Nkomolo,"31.05291838,-7.388613071",borehole,2000,200,1985,enough,15033081021WP06_114,salty,india mark ii,unknown,annually,NO,DWE/,vwc,none
functional,Nkasi,Nkomolo,"31.01885265,-7.492062845",borehole,25,300,1985,insufficient,15033081021WP09_120,good,other handpump,unknown,per bucket,NO,DWE,water authority,none
functional,Nkasi,Nkomolo,"31.02011166,-7.488505707",shallow well,25,100,1995,insufficient,15033081021WP10_122,good,nira/tanira,unknown,per bucket,RU,DWE/,vwc,none
functional,Nkasi,Nkomolo,"31.02371554,-7.49011594",shallow well,25,1,1995,insufficient,15033081021WP11_124,good,nira/tanira,unknown,per bucket,RU,DWE,vwc,none
functional,Nkasi,Nkomolo,"31.02527595,-7.4924712",borehole,25,1,1995,enough,15033081021WP12_125,salty,submersible,unknown,per bucket,RU,DWE,water board,none
functional,Nkasi,Nkomolo,"31.02347877,-7.493616438",borehole,25,300,1993,insufficient,15033081021WP13_126,salty,india mark ii,unknown,per bucket,NO,DWE,water board,none
functional,Nkasi,Nkomolo,"31.08097669,-7.459444423",shallow well,0,50,2006,enough,15033081013WP042_20,good,nira/tanira,unknown,never pay,Nk,DWE,unknown,none
functional,Nkasi,Nkomolo,"31.08645554,-7.46178195",borehole,0,600,2008,enough,15033081013WP040_18,salty,afridev,unknown,never pay,TA,DDCA,vwc,none
functional,Nkasi,Nkomolo,"31.05255064,-7.37852667",borehole,2000,150,1985,enough,15033081021WP03_77,good,india mark ii,unknown,annually,NO,DWE/,vwc,none
functional,Nkasi,Nkandasi,"31.36681164,-7.682628614",borehole,0,320,2005,enough,15033081044WP022_201,good,india mark ii,unknown,never pay,DE,DWE,parastatal,none
functional,Nkasi,Nkandasi,"31.27875609,-7.699705005",borehole,2000,300,1990,enough,15033081044WP13_229,good,india mark ii,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.28014034,-7.69872822",borehole,2000,250,1989,enough,15033081044WP14_230,salty,swn 80,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.29418924,-7.703978358",borehole,2000,1,1989,enough,15033081044WP01_194,good,other handpump,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.42502674,-7.625701096",shallow well,0,1,1994,enough,15033081044WP018_196,good,nira/tanira,unknown,never pay,CO,DWE,vwc,pump broken
functional,Nkasi,Nkandasi,"31.2871136,-7.69751249",borehole,2000,400,1990,enough,15033081044WP16_232,good,other handpump,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.33111084,-7.653284607",borehole,5000,500,1983,enough,15033081044WP029_208,good,india mark ii,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.29628396,-7.700825408",borehole,2000,450,1990,enough,15033081044WP03_209,good,swn 80,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.32170705,-7.648447001",borehole,5000,650,1983,enough,15033081044WP032_212,good,india mark ii,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.28862441,-7.699610518",borehole,2000,250,1990,enough,15033081044WP05_221,good,swn 80,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.28609155,-7.70065701",borehole,2000,550,1989,enough,15033081044WP08_224,good,india mark ii,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.28417029,-7.700131022",borehole,2000,1,1989,enough,15033081044WP09_225,good,swn 80,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.28152095,-7.702174558",borehole,2000,350,1989,enough,15033081044WP11_227,good,swn 80,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Nkandasi,"31.32958939,-7.657830311",borehole,5000,550,1983,enough,15033081044WP038_218,good,india mark ii,unknown,annually,NO,DWE,vwc,none
functional,Nkasi,Namanyere,"31.04439173,-7.511593975",borehole,25,1,1986,enough,15033081013WP20_36,salty,india mark ii,unknown,per bucket,NO,DWE,vwc,none
functional,Nkasi,Namanyere,"31.04785349,-7.513459502",borehole,25,250,1987,enough,15033081013WP19_35,salty,other handpump,unknown,per bucket,NO,DWE,vwc,none
functional,Nkasi,Namanyere,"31.04311818,-7.514903847",borehole,0,450,2006,enough,15033081013WP22_38,salty,india mark ii,unknown,never pay,DE,DWE,other,none
functional,Nkasi,Namanyere,"31.0430966,-7.515188183",shallow well,25,1,2001,insufficient,15033081013WP23_39,salty,nira/tanira,unknown,per bucket,CO,DWE,parastatal,none
functional,Nkasi,Namanyere,"31.04454935,-7.496396031",borehole,25,250,2006,insufficient,15033081021WP029_75,salty,india mark ii,unknown,per bucket,Co,DWE,vwc,none
functional,Nkasi,Namanyere,"31.05138048,-7.516045538",borehole,25,1,1991,insufficient,15033081013WP029_7,salty,india mark ii,unknown,per bucket,RU,DWE,vwc,none
functional,Nkasi,Namanyere,"31.10444717,-7.548838044",shallow well,0,1500,2004,enough,15033081013WP032_11,good,nira/tanira,unknown,never pay,DW,DWE,vwc,none
functional,Nkasi,Namanyere,"31.0411188,-7.504997712",borehole,25,250,1988,enough,15033081021WP035_89,salty,india mark ii,unknown,per bucket,NO,DWE,vwc,none
functional,Nkasi,Namanyere,"31.03998209,-7.499806737",borehole,25,150,1988,enough,15033081021WP034_87,salty,india mark ii,unknown,per bucket,NO,DWE,unknown,none
functional,Nkasi,Namanyere,"31.04301571,-7.501184774",borehole,25,250,1989,enough,15033081021WP030_79,salty,submersible,unknown,per bucket,NO,DWE,vwc,none
functional,Nkasi,Namanyere,"31.04789481,-7.507865924",borehole,25,1,2006,enough,15033081013WP07_23,salty,india mark ii,unknown,per bucket,Co,DWE,vwc,none
functional,Nkasi,Namanyere,"31.04592637,-7.504797062",borehole,25,1,1989,enough,15033081021WP031_81,salty,india mark ii,unknown,per bucket,NO,DWE,vwc,none
functional,Nkasi,Namanyere,"31.05140058,-7.503309783",shallow well,25,200,1993,enough,15033081013WP01_1,good,nira/tanira,unknown,never pay,RU,DWE,vwc,none
functional,Sumbawanga Urban,Mwimbi,"31.70620692,-8.598394382",shallow well,0,300,2003,enough,1502308081WP16_620,good,nira/tanira,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Urban,Mwimbi,"31.75069809,-8.65675989",borehole,0,340,2008,enough,1502308081WP04_608,good,india mark ii,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Urban,Mwimbi,"31.70672355,-8.595940549",borehole,0,218,2003,enough,1502308081WP15_619,good,swn 80,unknown,never pay,TASAF,DWE,vwc,none
functional,Sumbawanga Urban,Mwimbi,"31.66204785,-8.647056669",shallow well,0,450,1993,enough,1502308081WP14_618,good,nira/tanira,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Mwembenkoswe,"32.0258239,-8.939005831",borehole,0,200,1984,insufficient,15023080101WP05_182,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Mwembenkoswe,"32.03126071,-8.935503439",borehole,0,50,1984,enough,15023080101WP07_184,salty,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Mwembenkoswe,"32.0179358,-8.924080842",borehole,0,100,1984,insufficient,15023080101WP12_189,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Rural,Mwembenkoswe,"32.10242301,-8.981328988",borehole,0,250,1984,insufficient,15023080101WP02_179,good,india mark ii,unknown,never pay,RUDEP,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.7418357,-8.431201239",river/lake,0,359,1983,seasonal,1502308061WP08_529,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.75841851,-8.440977955",river/lake,0,100,1983,insufficient,1502308061WP07_528,good,gravity,unknown,never pay,ILO,DWE,vwc,tap broken
functional,Sumbawanga Urban,Mwazye,"31.76166622,-8.443733486",river/lake,0,250,1983,insufficient,1502308061WP06_527,good,gravity,unknown,never pay,ILO,DWE,vwc,tap broken
functional,Sumbawanga Urban,Mwazye,"31.71524886,-8.368797514",river/lake,0,400,1983,enough,1502308061WP25_546,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.71558465,-8.370165713",river/lake,0,624,1983,insufficient,1502308061WP26_547,good,gravity,unknown,never pay,ILO,DWE,vwc,tap broken
functional,Sumbawanga Urban,Mwazye,"31.71721159,-8.369785592",river/lake,0,350,1983,insufficient,1502308061WP27_548,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.71534631,-8.364675926",river/lake,0,300,1983,insufficient,1502308061WP23_544,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.7294738,-8.43897494",river/lake,0,765,1983,insufficient,1502308061WP17_538,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.73369203,-8.439975663",river/lake,0,400,2011,enough,1502308061WP18_539,good,gravity,unknown,never pay,RC,RC,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.73437575,-8.440488817",river/lake,0,200,1983,enough,1502308061WP19_540,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.73524498,-8.43996851",river/lake,0,300,1983,enough,1502308061WP20_541,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.7176813,-8.368210959",river/lake,0,150,1983,enough,1502308061WP21_542,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.71777919,-8.367105437",river/lake,0,240,1983,enough,1502308061WP22_543,good,gravity,unknown,never pay,ILO,DWE,vwc,tap broken
functional,Sumbawanga Urban,Mwazye,"31.74211055,-8.429834329",borehole,0,359,2009,insufficient,1502308061WP09_530,good,india mark ii,unknown,never pay,DWE,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.71593086,-8.36805128",river/lake,0,300,1983,insufficient,1502308061WP24_545,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Sumbawanga Urban,Mwazye,"31.73711587,-8.441645951",river/lake,0,300,1983,insufficient,1502308061WP13_534,good,gravity,unknown,never pay,ILO,DWE,vwc,none
functional,Kalambo,Muze,"31.55100763,-7.674325438",shallow well,0,170,1991,enough,15023080191WP16_411,salty,nira/tanira,unknown,never pay,DWE,DWE,vwc,none
functional,Kalambo,Muze,"31.548789,-7.670483771",borehole,50,450,2008,insufficient,15023080191WP15_409,good,swn 80,unknown,per bucket,ADB,DWE,vwc,none
functional,Sumbawanga Rural,Muze,"31.56028586,-7.683391037",borehole,20,350,2008,enough,15023080191WP06_393,good,swn 80,unknown,per bucket,ADB,DWE,vwc,none
functional,Kalambo,Muze,"31.55475356,-7.682359606",borehole,20,450,2008,enough,15023080191WP05_391,good,swn 80,unknown,per bucket,ADB,DWE,vwc,none
functional,Kalambo,Muze,"31.55851819,-7.678694134",borehole,20,900,2002,enough,15023080191WP04_389,good,swn 80,unknown,per bucket,TASAF,DWE,vwc,none
functional,Kalambo,Muze,"31.55361691,-7.676351038",borehole,20,560,2008,enough,15023080191WP03_387,good,swn 80,unknown,per bucket,ADB,DWE,vwc,none
functional,Kalambo,Muze,"31.5590595,-7.675105142",borehole,20,500,2008,enough,15023080191WP02_385,good,swn 80,unknown,per bucket,TASAF,DWE,vwc,none
