Status_group,Region,District_name,Ward_name,Location,Source_group,Amount_tsh,Pop_served,Construction_year,Quality_group,Wptcode,Quality_group,Extraction_group,Breakdown_year,Payment_group,Funder,Installer,Management,Hardware Problem,
functional,Arusha,Meru,Usa River,"36.8565215,-3.355421971",spring,0,57,2005,enough,02073098173WP26,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85608673,-3.354908648",spring,0,75,2005,enough,02073098173WP25,good,gravity,unknown,unknown,Killflora,Killflora /Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85574,-3.355377249",spring,0,94,2005,enough,02073098173WP24,good,gravity,unknown,unknown,Killflora,Killflora /Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85591676,-3.357359918",spring,0,89,2005,enough,02073098173WP23,good,gravity,unknown,unknown,Killflora,Killflora/ Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.85859983,-3.39414965",spring,0,69,2012,enough,02073098173WP22,good,gravity,unknown,unknown,Community,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.8602415,-3.398050726",spring,0,65,2012,enough,02073098173WP21,good,gravity,unknown,unknown,Community,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.8623678,-3.397602025",spring,0,59,2012,enough,02073098173WP20,good,gravity,unknown,unknown,Community,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.8542504,-3.389676566",spring,0,94,2011,enough,02073098173WP19,good,gravity,unknown,unknown,Community,Community,water authority,none,
functional,Arusha,Meru,Usa River,"36.84904472,-3.399764252",spring,0,98,2006,insufficient,02073098173WP18,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Usa River,"36.8556253,-3.363623048",rainwater harvesting,0,500,2012,insufficient,02073098173WP32,good,gravity,unknown,unknown,Save the rain USA,Save the rain,wua,none,
functional,Arusha,Arusha Urban,Unga Ltd,"36.67458961,-3.376053629",borehole,30,895,2000,enough,02032001122WP01,good,submersible,unknown,per bucket,,,water board,none,
functional,Arusha,Arusha Urban,Unga Ltd,"36.67525285,-3.374728568",borehole,30,370,2000,enough,02032001122WP02,good,submersible,unknown,per bucket,,,water board,none,
functional,Arusha,Arusha Urban,Unga Ltd,"36.67105401,-3.373186723",borehole,30,470,2000,enough,02032001122WP04,good,submersible,unknown,per bucket,,,water board,none,
functional,Arusha,Arusha Urban,Unga Ltd,"36.68351451,-3.38161647",borehole,50,2430,2000,insufficient,02032001122WP07,good,submersible,unknown,per bucket,,,water board,none,
functional,Arusha,Longido,Tingatinga,"36.95419135,-2.781431495",borehole,0,770,2002,insufficient,0206310008WP23,good,gravity,unknown,on failure,SNV,DWE,parastatal,none,
functional,Arusha,Longido,Tingatinga,"36.94323434,-2.952771222",river/lake,0,400,2008,insufficient,0206310008WP01,good,gravity,unknown,on failure,AWF,DWE,vwc,none,
functional,Arusha,Longido,Tingatinga,"36.94719085,-2.9594595",river/lake,0,200,2008,insufficient,0206310008WP02,good,gravity,unknown,on failure,AWF,DWE,vwc,none,
functional,Arusha,Longido,Tingatinga,"36.95252631,-2.966859471",river/lake,0,250,2008,insufficient,0206310008WP03,good,gravity,unknown,on failure,AWF,DWE,vwc,none,
functional,Arusha,Longido,Tingatinga,"36.95293382,-2.967756881",river/lake,0,500,1978,insufficient,0206310008WP04,good,gravity,unknown,on failure,Ministry of Water,DWE,vwc,none,
functional,Arusha,Longido,Tingatinga,"36.95598329,-2.974773051",river/lake,0,100,1983,insufficient,0206310008WP06,good,gravity,unknown,on failure,Ministry of Water,DWE,vwc,none,
functional,Arusha,Longido,Tingatinga,"36.95509052,-2.975433186",river/lake,0,935,1983,insufficient,0206310008WP07,good,gravity,unknown,on failure,Ministry of Water,DWE,parastatal,none,
functional,Arusha,Longido,Tingatinga,"36.93522395,-2.968211878",river/lake,0,290,2012,insufficient,0206310008WP09,good,gravity,unknown,on failure,TINGATINGA SEC SCHOOL,VWC,parastatal,none,
functional,Arusha,Longido,Tingatinga,"36.8545568,-2.977996476",river/lake,0,550,2009,insufficient,0206310008WP15,good,gravity,unknown,on failure,VWC,VWC,parastatal,none,
functional,Arusha,Longido,Tingatinga,"36.85301701,-2.978461067",river/lake,0,200,1998,insufficient,0206310008WP13,good,gravity,unknown,on failure,OLD NYIKA COMPANY,FILEX MUGANGA,vwc,none,
functional,Arusha,Longido,Tingatinga,"36.85466251,-2.978375939",rainwater harvesting,0,550,2012,seasonal,0206310008WP16,good,gravity,unknown,never pay,WFP,ACTIVE TANK CO LTD,parastatal,none,
functional,Arusha,Longido,Tingatinga,"36.85464654,-2.97841006",rainwater harvesting,0,550,2012,seasonal,0206310008WP17,good,gravity,unknown,never pay,AFDP,ACTIVE TANK CO LTD,parastatal,none,
functional,Arusha,Longido,Tingatinga,"37.04411854,-2.764141031",borehole,0,250,2005,insufficient,0206310008WP18,good,afridev,unknown,on failure,TAG,TAG,wug,none,
functional,Arusha,Longido,Tingatinga,"36.96525192,-2.722760276",borehole,0,1500,unknown,insufficient,0206310008WP19,good,gravity,unknown,on failure,Ministry of Water,DWE,wug,none,
functional,Arusha,Longido,Tingatinga,"36.95752175,-2.780406314",borehole,0,1000,unknown,insufficient,0206310008WP21,good,gravity,unknown,on failure,Ministry of Water,DWE,wug,none,
functional,Arusha,Longido,Tingatinga,"36.95765888,-2.780214713",borehole,0,250,2012,insufficient,0206310008WP22,good,gravity,unknown,on failure,VWC,VWC,wug,none,
functional,Arusha,Arusha Urban,Themi,"36.71650559,-3.402053816",spring,0,2300,2000,enough,02032001162WP01,good,gravity,unknown,never pay,,,water board,none,
functional,Arusha,Arusha Urban,Terrat,"36.68024495,-3.493954329",rainwater harvesting,0,1900,2000,seasonal,02032001091WP11,good,gravity,unknown,never pay,,,water board,none,
functional,Arusha,Arusha Urban,Terrat,"36.68316291,-3.492592616",spring,0,410,2000,enough,02032001091WP08,good,gravity,unknown,never pay,,,vwc,none,
functional,Arusha,Arusha Urban,Terrat,"36.68204599,-3.492736724",spring,0,670,2000,seasonal,02032001091WP09,good,gravity,unknown,never pay,,,water board,none,
functional,Arusha,Arusha Urban,Terrat,"36.69667679,-3.473153272",spring,0,640,2000,enough,02032001091WP03,good,submersible,unknown,never pay,,,water board,none,
functional,Arusha,Arusha Urban,Terrat,"36.70206777,-3.470517858",spring,0,800,2000,insufficient,02032001091WP01,good,gravity,unknown,never pay,,,water board,none,
functional,Arusha,Meru,Songoro,"36.83465517,-3.309017047",spring,0,98,1997,insufficient,02073098121WP27,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.83615749,-3.307856444",spring,0,97,1998,insufficient,02073098121WP26,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.83486235,-3.312043039",spring,0,123,1989,insufficient,02073098121WP31,good,gravity,unknown,unknown,World Vision,KKKT Kilinga,vwc,none,
functional,Arusha,Meru,Songoro,"36.8397509,-3.309199159",spring,0,84,1998,insufficient,02073098121WP25,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.83730026,-3.31203866",spring,0,120,1989,insufficient,02073098121WP24,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.83637211,-3.310176654",spring,0,98,1998,insufficient,02073098121WP30,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.83589291,-3.31582588",spring,0,350,1994,insufficient,02073098121WP33,good,gravity,unknown,unknown,World Vision,Community,wua,none,
functional,Arusha,Meru,Songoro,"36.83759015,-3.317622932",spring,0,250,2008,insufficient,02073098121WP34,good,gravity,unknown,unknown,World Vision,Pentecosta Kilinga,wua,none,
functional,Arusha,Meru,Songoro,"36.83310417,-3.321121031",spring,0,89,1998,enough,02073098121WP21,good,gravity,unknown,unknown,ADRA,Adra /Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.79786596,-3.32520891",spring,0,350,2012,insufficient,02073098121WP60,good,gravity,unknown,unknown,USAID,Amec,unknown,none,
functional,Arusha,Meru,Songoro,"36.83010045,-3.319440817",spring,0,350,2013,enough,02073098121WP40,good,gravity,unknown,unknown,World Vision,Community,wua,none,
functional,Arusha,Meru,Songoro,"36.83062656,-3.321620355",spring,0,68,1998,enough,02073098121WP20,good,gravity,unknown,unknown,ADRA,Adra /Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.82789502,-3.307023829",spring,0,120,1999,insufficient,02073098121WP28,good,gravity,unknown,unknown,ADRA,Adra/ Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.82433484,-3.316882514",spring,0,89,2002,enough,02073098121WP17,good,gravity,unknown,unknown,ADRA,Adra /Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.83010653,-3.312473672",spring,0,98,1994,insufficient,02073098121WP15,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.82613946,-3.305841255",spring,0,230,2001,enough,02073098121WP12,good,gravity,unknown,unknown,KKKT,KKKT,wua,none,
functional,Arusha,Meru,Songoro,"36.82327656,-3.306406862",spring,0,320,2005,enough,02073098121WP10,good,gravity,unknown,unknown,FPCT,FPCT,wua,none,
functional,Arusha,Meru,Songoro,"36.82846327,-3.318313105",spring,0,350,2005,enough,02073098121WP06,good,gravity,unknown,unknown,FPCT Mulala,FPCT,wua,none,
functional,Arusha,Meru,Songoro,"36.82269765,-3.320402331",spring,0,98,2003,enough,02073098121WP05,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.82223317,-3.321660223",spring,0,250,2008,enough,02073098121WP04,good,gravity,unknown,unknown,World Vision,World vision,vwc,none,
functional,Arusha,Meru,Songoro,"36.81955137,-3.312819306",spring,0,120,1994,insufficient,02073098121WP03,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.81786066,-3.310239607",spring,0,350,2006,insufficient,02073098121WP02,good,gravity,unknown,unknown,Mh.J S Sumari,Community,wua,none,
functional,Arusha,Meru,Songoro,"36.81587635,-3.308383658",spring,0,350,1968,insufficient,02073098121WP01,good,gravity,unknown,unknown,Government of Tanzania,RWE,vwc,none,
functional,Arusha,Meru,Songoro,"36.82124052,-3.325495757",spring,0,140,2001,insufficient,02073098121WP49,good,gravity,unknown,unknown,ADRA,Adra /Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.82388778,-3.306404234",spring,0,98,2002,enough,02073098121WP11,good,gravity,unknown,unknown,ADRA,Adra /Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.81747763,-3.321487638",spring,0,156,1998,enough,02073098121WP50,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.81607052,-3.315541841",spring,0,250,1970,insufficient,02073098121WP51,good,gravity,unknown,unknown,World Vision,KKKT,wua,none,
functional,Arusha,Meru,Songoro,"36.79394978,-3.330905851",spring,0,98,1995,insufficient,02073098121WP52,good,gravity,unknown,unknown,ADF,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.79530362,-3.321096915",spring,0,98,1995,insufficient,02073098121WP54,good,gravity,unknown,unknown,ADF,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.80318675,-3.313518391",spring,0,150,1995,insufficient,02073098121WP55,good,gravity,unknown,unknown,ADF,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.79836516,-3.326129874",spring,0,120,2012,enough,02073098121WP58,good,gravity,unknown,unknown,Community,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.79846836,-3.329859811",spring,0,68,1997,insufficient,02073098121WP59,good,gravity,unknown,unknown,ADF,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.79999363,-3.321692967",spring,0,156,2013,insufficient,02073098121WP62,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.80280532,-3.32149787",spring,0,97,2013,insufficient,02073098121WP63,good,gravity,unknown,unknown,Government of Tanzania,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.8101963,-3.321645509",spring,0,35,2013,insufficient,02073098121WP65,good,gravity,unknown,unknown,Government of Tanzania,Community,wua,none,
functional,Arusha,Meru,Songoro,"36.83729312,-3.316516975",spring,0,260,1989,insufficient,02073098121WP39,good,gravity,unknown,unknown,World Vision,Community,vwc,none,
functional,Arusha,Meru,Songoro,"36.83001579,-3.319422385",spring,0,350,2013,enough,02073098121WP41,good,gravity,unknown,unknown,Community,Community,wua,none,
functional,Arusha,Arusha Urban,Sombetini,"36.65870108,-3.385045188",borehole,30,870,2000,insufficient,02032001132WP03,good,submersible,unknown,per bucket,,,water board,none,
functional,Arusha,Arusha Urban,Sokoni I,"36.67387591,-3.378205254",borehole,25,296,2000,enough,02032001103WP07,good,submersible,unknown,per bucket,,,water board,none,
functional,Arusha,Arusha Urban,Sokoni I,"36.67869908,-3.384861119",borehole,30,210,2000,enough,02032001103WP04,good,submersible,unknown,per bucket,,,vwc,none,
functional,Arusha,Arusha Urban,Sokoni I,"36.67838714,-3.38327643",borehole,30,715,2000,enough,02032001103WP05,good,submersible,unknown,per bucket,,,vwc,none,
functional,Arusha,Arusha Urban,Sokoni I,"36.68044954,-3.38388334",borehole,30,430,2000,enough,02032001103WP06,good,submersible,unknown,per bucket,,,water authority,none,
functional,Arusha,Arusha,Sokon II,"36.72016629,-3.349684876",spring,200,150,2005,insufficient,0202309902WP07,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71729693,-3.350551927",spring,0,200,1999,enough,0202309902WP39,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.70957088,-3.349429053",spring,0,200,1999,enough,0202309902WP53,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71672052,-3.350270307",spring,0,200,1999,enough,0202309902WP40,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71635237,-3.350592595",spring,0,200,1999,enough,0202309902WP41,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.72353981,-3.347889603",spring,200,150,2005,insufficient,0202309902WP11,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71565628,-3.35064833",spring,0,200,1999,enough,0202309902WP42,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.7145901,-3.350605913",spring,0,200,1999,enough,0202309902WP43,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71607633,-3.359788504",spring,200,150,2005,insufficient,0202309902WP04,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71426214,-3.350429671",spring,0,200,1999,enough,0202309902WP44,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71454596,-3.349647774",spring,0,200,1999,enough,0202309902WP45,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71399912,-3.349265661",spring,0,200,1999,enough,0202309902WP46,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71332167,-3.351250462",spring,0,200,1999,enough,0202309902WP47,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71271468,-3.350915566",spring,0,200,1999,enough,0202309902WP48,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71138287,-3.349563011",spring,0,200,1999,enough,0202309902WP50,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.72057765,-3.350598327",spring,200,300,2005,insufficient,0202309902WP06,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71079656,-3.350257974",spring,0,200,1999,enough,0202309902WP51,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71964421,-3.351186706",spring,200,150,2005,insufficient,0202309902WP08,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.72178166,-3.349229534",spring,200,150,2005,insufficient,0202309902WP09,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.70901591,-3.34886447",spring,0,200,1999,enough,0202309902WP54,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.72458973,-3.347545411",spring,200,150,2005,insufficient,0202309902WP12,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71951043,-3.353748483",spring,200,150,2005,insufficient,0202309902WP13,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71778154,-3.354856114",spring,200,150,2005,insufficient,0202309902WP14,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71705888,-3.355893559",spring,200,150,2005,insufficient,0202309902WP15,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.72618421,-3.354478633",spring,200,200,2005,insufficient,0202309902WP16,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.72751435,-3.356401368",spring,200,150,2005,insufficient,0202309902WP17,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73910261,-3.350367396",spring,0,200,2005,insufficient,0202309902WP19,good,gravity,unknown,never pay,Oldadai village community,Oldadai village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73409408,-3.353766064",spring,0,200,2005,insufficient,0202309902WP21,good,gravity,unknown,never pay,Oldadai village community,Oldadai village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73371112,-3.360248109",spring,0,400,2005,insufficient,0202309902WP23,good,gravity,unknown,never pay,Oldadai village community,Oldadai village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.74096525,-3.354589313",spring,0,200,2005,insufficient,0202309902WP24,good,gravity,unknown,unknown,Oldadai village community,Oldadai village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73452055,-3.335185998",spring,0,200,2005,insufficient,0202309902WP25,good,gravity,unknown,unknown,Ngiresi village community,Ngiresi village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73390513,-3.334761651",spring,0,300,2005,insufficient,0202309902WP26,good,gravity,unknown,unknown,Ngiresi village community,Ngiresi village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73321505,-3.335345491",spring,0,150,2005,insufficient,0202309902WP27,good,gravity,unknown,unknown,Ngiresi village community,Ngiresi village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73080532,-3.33484602",spring,0,150,2005,insufficient,0202309902WP28,good,gravity,unknown,unknown,Ngiresi village community,Ngiresi village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.73280889,-3.328302707",spring,0,500,2005,insufficient,0202309902WP29,good,gravity,unknown,unknown,Ngiresi village community,Ngiresi village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71576291,-3.354636121",spring,0,200,2000,enough,0202309902WP30,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.7099821,-3.349753595",spring,0,200,1999,enough,0202309902WP52,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71466377,-3.3552248",spring,0,300,2000,enough,0202309902WP31,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.7148664,-3.355646642",spring,0,300,2000,enough,0202309902WP32,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71352628,-3.35904618",spring,18000,200,2000,enough,0202309902WP33,good,gravity,unknown,annually,Sekei village community,Sekei village community,private operator,none,
functional,Arusha,Arusha,Sokon II,"36.71323148,-3.358978989",spring,18000,200,2000,enough,0202309902WP34,good,gravity,unknown,annually,Sekei village community,Sekei village community,private operator,none,
functional,Arusha,Arusha,Sokon II,"36.71517252,-3.356358249",spring,0,200,1999,enough,0202309902WP35,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71501903,-3.356422099",spring,0,150,1999,enough,0202309902WP36,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71833464,-3.360780601",spring,200,200,2005,enough,0202309902WP01,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71964299,-3.361371714",spring,200,200,2005,enough,0202309902WP02,good,gravity,unknown,monthly,Government of Tanzania,DWE,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.70965428,-3.354444375",spring,0,200,1999,enough,0202309902WP37,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71465725,-3.351097336",spring,0,200,1999,enough,0202309902WP38,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Arusha,Sokon II,"36.71163573,-3.350847596",spring,0,200,1999,enough,0202309902WP49,good,gravity,unknown,never pay,Sekei village community,Sekei village community,vwc,none,
functional,Arusha,Ngorongoro,Soitsambu,"35.41714744,-2.007243095",rainwater harvesting,0,168,2011,seasonal,0205300714WP11,unknown,gravity,unknown,never pay,OBC,OBC,parastatal,none,
functional,Arusha,Ngorongoro,Soitsambu,"35.41659706,-2.006219343",rainwater harvesting,0,170,2011,seasonal,0205300714WP12,good,gravity,unknown,never pay,OBC,OBC,parastatal,none,
functional,Arusha,Ngorongoro,Soitsambu,"35.44144882,-1.855978646",rainwater harvesting,0,225,2011,seasonal,0205300717WP01,good,gravity,unknown,never pay,WFP/TNT,Active MKM,parastatal,none,
functional,Arusha,Ngorongoro,Soitsambu,"35.44163931,-1.856023937",rainwater harvesting,0,225,2011,seasonal,0205300717WP02,good,gravity,unknown,never pay,WFP/TNT,Active MKM,parastatal,none,
